episode,reward,return,hold_actions,buy_actions,sell_actions
437,58751.023247508085,587.9448274320765,727,847,646
438,10942.895501634248,109.42895501634248,761,827,632
439,3707.158753684562,37.071587536845584,696,864,660
440,15954.098741875034,159.54098741875035,707,881,632
441,-754.5570406248426,-7.487127306850905,688,888,644
442,15916.091290336859,159.1609129033686,709,880,631
443,5685.144702455747,56.851447024557466,715,847,658
444,10779.000289676907,107.92135292344133,742,867,611
445,5309.036891211228,53.18714172966625,714,853,653
446,-2136.4910888383192,-21.315203390870373,716,850,654
447,4057.1050869827177,40.571050869827175,734,851,635
448,15734.602862741627,157.3460286274163,698,848,674
449,4998.043031631518,50.075237252393556,721,844,655
450,18678.602486141834,186.9673105416225,736,863,621
451,50116.52821296682,501.1652821296682,712,852,656
452,7562.294980784525,75.73396611671444,713,874,633
453,-1236.0765945372113,-12.305366669323558,748,841,631
454,32336.01103033634,323.3601103033634,723,883,614
455,838.6935239723407,8.455449733376575,726,798,696
456,1960.8013127179174,19.683620786332455,732,847,641
457,13041.392645056996,130.5595777088741,738,870,612
458,55061.77287613144,550.6177287613144,705,873,642
459,40839.81808114316,408.39818081143153,719,863,638
460,34796.78768639787,347.96787686397863,735,825,660
461,20145.60321045026,201.6465911174745,717,836,667
462,-3331.9844907544784,-33.27769446706256,726,849,645
463,-6229.596136959082,-62.29596136959081,694,853,673
464,7301.717185805002,73.01717185805003,745,846,629
465,-67.13875402153099,-0.6713875402153069,725,857,638
466,12879.56914524066,128.9403197779074,767,844,609
467,15295.945991892444,153.11936285623685,731,845,644
468,31934.32138510381,319.34321385103806,700,870,650
469,26579.351926664298,266.0247478524382,734,846,640
470,26455.437245666326,264.7848177421828,702,856,662
471,13648.634560386527,136.6358354126609,735,838,647
472,16195.787419780325,161.95787419780325,708,840,672
473,9520.248690469929,95.32588000111384,770,784,666
474,-1031.3571718708308,-10.256878352412247,729,846,645
475,-6049.411603795725,-60.49411603795731,736,857,627
476,1302.9598066769322,13.029598066769331,729,829,662
477,28726.55611722679,287.51036285223364,774,832,614
478,-292.59248092822054,-2.864561499268581,741,830,649
479,103692.64196196897,1037.6451034517295,730,814,676
480,25746.105117398743,257.68701256746857,725,816,679
481,19086.195474909666,191.0458169416065,773,863,584
482,-4558.435725017337,-45.58435725017338,721,829,670
483,12467.194674222083,124.81396833029387,721,856,643
484,12739.53738855135,127.53911703007587,746,821,653
485,-5896.8993877660805,-58.96899387766086,738,845,637
486,14736.295502797682,147.36295502797682,738,820,662
487,128424.41940343691,1285.1192145323364,758,851,611
488,27747.337352128052,277.4733735212805,734,842,644
489,18494.815613765382,185.12828004827085,715,857,648
490,-6740.652490627467,-67.38592163487948,757,829,634
491,198396.06174473872,1983.9606174473872,682,887,651
492,16854.31050169813,168.71285882378092,734,805,681
493,7834.941652095975,78.46215630771766,719,877,624
494,3281.8579714088046,32.81857971408804,757,817,646
495,14331.975526442053,143.31975526442054,734,846,640
496,35270.29753974334,352.9891419456989,747,827,646
497,8650.761716856367,86.62551398818033,757,854,609
498,5692.8313317837,57.02751221024074,706,850,664
499,-3717.0291117851484,-37.17029111785146,768,812,640
500,30082.83143358479,301.0816894214874,744,815,661
501,-3730.7224752722286,-37.30722475272215,742,800,678
502,7372.101493182388,73.72101493182387,735,833,652
503,24427.409176202418,244.4917172998513,737,838,645
504,8852.98668851608,88.64904202688398,746,818,656
505,15198.334149761991,151.9833414976199,730,819,671
506,11722.424446607929,117.36155814771321,750,865,605
507,24381.10241569757,244.02835697647453,734,856,630
508,7015.952971839939,70.26709244257026,744,833,643
509,17382.088821665588,173.99397826174595,751,816,653
510,5326.709945347677,53.36398398748001,728,842,650
511,4221.595208973011,42.30585087619618,747,848,625
512,8872.021687104785,88.83951233846223,753,851,616
513,14729.795036985772,147.29795036985772,711,845,664
514,-2090.7247157354523,-20.857250357457346,750,838,632
515,15233.680615601334,152.49631549600525,738,877,605
516,11619.85047036991,116.19850470369913,710,853,657
517,21012.959801640256,210.32563983941338,752,802,666
518,13783.309730768178,137.9834384368959,708,868,644
519,7107.418251008683,71.18232341254782,703,872,645
520,5528.195254465589,55.380110725146366,714,864,642
521,15354.939498071213,153.7096708329147,746,835,639
522,35634.790187538434,356.63637248632585,721,831,668
523,105727.58433260201,1057.27584332602,699,879,642
524,34309.657219510256,343.37666626009525,749,843,628
525,14009.698372288854,140.09698372288852,766,814,640
526,-3559.395676146448,-35.593956761464476,752,871,597
527,21616.154916716234,216.3614039596784,737,847,636
528,-2162.044797395588,-21.62044797395588,753,844,623
529,14068.30437705743,140.6830437705743,710,852,658
530,22195.360916969763,222.1571252896366,755,852,613
531,-1553.26098860411,-15.532609886041104,722,815,683
532,38210.08574807673,382.10085748076733,724,878,618
533,54143.252525209056,541.8379931674174,758,820,642
534,66129.96628544648,661.2996628544648,746,822,652
535,37009.13149529025,370.09131495290245,739,845,636
536,27731.374835233793,277.31374835233794,686,880,654
537,-5479.023926405255,-54.76166087627781,731,860,629
538,9969.883931218581,99.69883931218581,769,840,611
539,-480.34680255479725,-4.743291564507346,749,847,624
540,-3489.593903779346,-34.895939037793454,730,861,629
541,19777.68952115622,197.96512853647266,748,847,625
542,35168.080055330385,351.6808005533038,743,805,672
543,5151.428754137909,51.5142875413791,741,839,640
544,17979.30023984004,179.79300239840038,759,843,618
545,-3086.9373546856377,-30.869373546856384,691,863,666
546,92942.97560198115,930.0804881244624,692,861,667
547,6420.164591785389,64.2016459178539,731,904,585
548,14179.587611251663,141.9487222279883,776,837,607
549,-4302.270567070086,-42.986688687084886,739,871,610
550,-1188.2001866563696,-11.882001866563662,763,815,642
551,43372.75217559417,434.0649062462494,779,835,606
552,5721.099876935287,57.31037635534668,755,867,598
553,2450.083090860995,24.579531458360115,773,818,629
554,50036.886791321085,500.74837831175853,685,876,659
555,-5669.093063451761,-56.690930634517535,738,824,658
556,-2622.072175052028,-26.174083750468203,710,871,639
557,33242.015710357984,332.6935023000636,719,865,636
558,14065.804626576184,140.81017312631926,755,808,657
559,19055.131090727256,190.73497673289114,743,848,629
560,-5491.643563715864,-54.8879370217344,731,851,638
561,36629.624849656546,366.59100774303226,723,872,625
562,3975.196293396857,39.751962933968564,714,887,619
